date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:18:59	42503/42503	---M-Z	200	added ('OK')	application/javascript	etag:%2242db0abdc392c1bebd3c8466e922f0e3%22	http://img1.wsimg.com/blobby/go/a854814c-784a-46b4-b962-9eb213567cfb/gpub/9d4aea32271d8013/script.js	C:/My%20Web%20Sites/test8/img1.wsimg.com/blobby/go/a854814c-784a-46b4-b962-9eb213567cfb/gpub/9d4aea32271d8013/script.js	(from https://onthegomoving.org/)
18:18:59	106898/106898	---MCZ	200	added ('OK')	text/html	etag:73059693f4f76790c49f2dfcf5b8a05e	https://onthegomoving.org/long-distance-moving	C:/My%20Web%20Sites/test8/onthegomoving.org/long-distance-moving.html	(from https://onthegomoving.org/moving)
18:19:01	60980/60980	---M-Z	200	added ('OK')	application/javascript	etag:%22f6a8caa97a7d7b2c3e5180c799b89713%22	http://img1.wsimg.com/blobby/go/a854814c-784a-46b4-b962-9eb213567cfb/gpub/587ac1fe76372a5b/script.js	C:/My%20Web%20Sites/test8/img1.wsimg.com/blobby/go/a854814c-784a-46b4-b962-9eb213567cfb/gpub/587ac1fe76372a5b/script.js	(from https://onthegomoving.org/moving)
18:19:01	42503/42503	---M-Z	200	added ('OK')	application/javascript	etag:%22ab5b8dede745bf88ecdf49541cf2f8be%22	http://img1.wsimg.com/blobby/go/a854814c-784a-46b4-b962-9eb213567cfb/gpub/ddac6f7358c888e2/script.js	C:/My%20Web%20Sites/test8/img1.wsimg.com/blobby/go/a854814c-784a-46b4-b962-9eb213567cfb/gpub/ddac6f7358c888e2/script.js	(from https://onthegomoving.org/moving)
18:19:02	104604/104604	---MCZ	200	added ('OK')	text/html	etag:cafae024f120858382a3acf5ac87416c	https://onthegomoving.org/furniture-moving	C:/My%20Web%20Sites/test8/onthegomoving.org/furniture-moving.html	(from https://onthegomoving.org/labor)
18:19:03	99680/99680	---MCZ	200	added ('OK')	text/html	etag:fe5bb1f5262f8bb406221014213e5f4b	https://onthegomoving.org/loading-and-unloading	C:/My%20Web%20Sites/test8/onthegomoving.org/loading-and-unloading.html	(from https://onthegomoving.org/labor)
18:19:05	42624/42624	---M-Z	200	added ('OK')	application/javascript	etag:%225406b92fb3919202da9ffcf3d07c1b3a%22	http://img1.wsimg.com/blobby/go/a854814c-784a-46b4-b962-9eb213567cfb/gpub/45da056b4e40f02f/script.js	C:/My%20Web%20Sites/test8/img1.wsimg.com/blobby/go/a854814c-784a-46b4-b962-9eb213567cfb/gpub/45da056b4e40f02f/script.js	(from https://onthegomoving.org/labor)
18:19:05	60980/60980	---M-Z	200	added ('OK')	application/javascript	etag:%223aafc4ea00dd39689d03c0f043749f01%22	http://img1.wsimg.com/blobby/go/a854814c-784a-46b4-b962-9eb213567cfb/gpub/5a6db7dac52f12ea/script.js	C:/My%20Web%20Sites/test8/img1.wsimg.com/blobby/go/a854814c-784a-46b4-b962-9eb213567cfb/gpub/5a6db7dac52f12ea/script.js	(from https://onthegomoving.org/labor)
18:19:05	60980/60980	---M-Z	200	added ('OK')	application/javascript	etag:%2272f617b5830e4a65568281e1b86f9820%22	http://img1.wsimg.com/blobby/go/a854814c-784a-46b4-b962-9eb213567cfb/gpub/145b6e072cedf38e/script.js	C:/My%20Web%20Sites/test8/img1.wsimg.com/blobby/go/a854814c-784a-46b4-b962-9eb213567cfb/gpub/145b6e072cedf38e/script.js	(from https://onthegomoving.org/why-us)
18:19:06	45743/45743	---M-Z	200	added ('OK')	application/javascript	etag:%22c57030244da7ed100c94e1d7e80ff11a%22	http://img1.wsimg.com/blobby/go/a854814c-784a-46b4-b962-9eb213567cfb/gpub/adf421f1207cc65e/script.js	C:/My%20Web%20Sites/test8/img1.wsimg.com/blobby/go/a854814c-784a-46b4-b962-9eb213567cfb/gpub/adf421f1207cc65e/script.js	(from https://onthegomoving.org/why-us)
18:19:07	42605/42605	---M-Z	200	added ('OK')	application/javascript	etag:%2230abf579eb653e5dd3fbb76a8c11e8a0%22	http://img1.wsimg.com/blobby/go/a854814c-784a-46b4-b962-9eb213567cfb/gpub/be2f9e2ca40d6943/script.js	C:/My%20Web%20Sites/test8/img1.wsimg.com/blobby/go/a854814c-784a-46b4-b962-9eb213567cfb/gpub/be2f9e2ca40d6943/script.js	(from https://onthegomoving.org/reviews)
18:19:08	60980/60980	---M-Z	200	added ('OK')	application/javascript	etag:%22e7eeb26d50e5d0263d470623756eb2ac%22	http://img1.wsimg.com/blobby/go/a854814c-784a-46b4-b962-9eb213567cfb/gpub/acd53598c40fb0fe/script.js	C:/My%20Web%20Sites/test8/img1.wsimg.com/blobby/go/a854814c-784a-46b4-b962-9eb213567cfb/gpub/acd53598c40fb0fe/script.js	(from https://onthegomoving.org/reviews)
